Paper_No.,Mix_ID,Cement,Fly Ash,Silica Fume,Metakaolin,Nano Clay,Water,Fine Aggregate,Superplasticizer,VMA,Accelerator,Retarder,Fiber Type,Fiber Length (mm),Fiber Volume Fraction,Water/Binder Ratio,Open Time,Static Yield Stress,Dynamic Yield Stress,Plastic Viscosity,Rheometer,Printable,,,,,,,,
2,G1,543.64,101.93,67.95,0,0,283.68,1019.32,0,0,0,0,NULL,0,0,0.397578204,15,300.78,NULL,23.14,Brookfield RSX-SST attached rheometer with a four-blade vane spindle,Yes,,,,,,,,
2,G2,500.38,125.09,62.55,0,0,302.1,938.2,0,0,0,0,NULL,0,0,0.439086073,15,523.41,NULL,26.06,Brookfield RSX-SST attached rheometer with a four-blade vane spindle,Yes,,,,,,,,
2,G3,587.87,97.98,65.32,0,0,313.53,979.79,0,0,0,0,NULL,0,0,0.417388873,15,218.18,NULL,17.83,Brookfield RSX-SST attached rheometer with a four-blade vane spindle,No,,,,,,,,
2,G4,602.53,66.95,66.95,0,0,307.96,1004.22,0,0,0,0,NULL,0,0,0.418179596,15,171.4,NULL,20.15,Brookfield RSX-SST attached rheometer with a four-blade vane spindle,No,,,,,,,,
2,G5,432.18,144.06,72.03,0,0,242.02,1080.45,0,0,0,0,NULL,0,0,0.373332099,15,729.81,NULL,32,Brookfield RSX-SST attached rheometer with a four-blade vane spindle,No,,,,,,,,
2,G6,493.89,123.47,61.74,0,0,311.15,926.04,0,0,0,0,NULL,0,0,0.458179944,15,491.82,NULL,25.93,Brookfield RSX-SST attached rheometer with a four-blade vane spindle,Yes,,,,,,,,
2,G7,524,116.45,58.22,0,0,331.87,873.34,0,0,0,0,NULL,0,0,0.475002505,15,452.62,NULL,25.64,Brookfield RSX-SST attached rheometer with a four-blade vane spindle,Yes,,,,,,,,
2,G8,555.62,123.47,61.74,0,0,311.15,926.04,0,0,0,0,NULL,0,0,0.42000189,15,322.7,NULL,21.84,Brookfield RSX-SST attached rheometer with a four-blade vane spindle,Yes,,,,,,,,
2,G9,496.03,124.01,62,0,0,308.16,930.06,0,0,0,0,NULL,0,0,0.451821008,20,714.22,NULL,29.51,Brookfield RSX-SST attached rheometer with a four-blade vane spindle,No,,,,,,,,
2,G10,522.47,97.96,65.31,0,0,292.91,979.63,0,0,0,0,NULL,0,0,0.427144399,20,639.1,NULL,27.83,Brookfield RSX-SST attached rheometer with a four-blade vane spindle,No,,,,,,,,
2,G11,557.04,131.07,65.53,0,0,291.66,983.01,0,0,0,0,NULL,0,0,0.387001751,10,173.82,NULL,16.98,Brookfield RSX-SST attached rheometer with a four-blade vane spindle,No,,,,,,,,
2,G12,607.32,35.72,71.45,0,0,285.08,1071.75,0,0,0,0,NULL,0,0,0.398997887,10,161.69,NULL,15.54,Brookfield RSX-SST attached rheometer with a four-blade vane spindle,No,,,,,,,,
4,Mix A,759,0,83.5,0,0,166.9,1267,0.6,0,0,0.4,NULL,0,0,0.19810089,0,2400,1200,47.1,Shear vane test,Yes,,,,,,,,
4,Mix B,759,0,83.5,0,0,166.9,1267,0.8,0,0,0.4,NULL,0,0,0.19810089,0,3500,1800,26.1,Shear vane test,Yes,,,,,,,,
4,Mix C,833,0,91.63,0,0,183.3,1175,0.6,0,0,0.4,NULL,0,0,0.198241459,0,3500,1600,24.2,Shear vane test,Yes,,,,,,,,
5,Rheo 1,579,165,83,0,0,261,NULL,1.48,0,0,0,NULL,0,0,0.315598549,0,1907.8,999.8,NULL,ICAR Rheometer,Yes,,,,,,,,
6,M1 10,1000,0,0,0,0,320,1000,0,0,0,0,NULL,0,0,0.32,10,850,NULL,NULL,ConTec 6 rheometer,Yes,,,,,,,,
6,M1 20,1000,0,0,0,0,320,1000,0,0,0,0,NULL,0,0,0.32,20,1030,NULL,NULL,ConTec 6 rheometer,No,,,,,,,,
6,M2 10,1000,0,0,0,0.5,320,1000,0.36,0,0,0,NULL,0,0,0.32,10,1420,NULL,NULL,ConTec 6 rheometer,Yes,,,,,,,,
6,M2 20,1000,0,0,0,0.5,320,1000,0.36,0,0,0,NULL,0,0,0.32,20,1900,NULL,NULL,ConTec 6 rheometer,No,,,,,,,,
6,M3 10,1000,0,0,0,0,320,1000,0.28,1,0,0,NULL,0,0,0.32,10,1250,NULL,NULL,ConTec 6 rheometer,Yes,,,,,,,,
6,M3 20,1000,0,0,0,0,320,1000,0.28,1,0,0,NULL,0,0,0.32,20,1300,NULL,NULL,ConTec 6 rheometer,Yes,,,,,,,,
6,M4 10,750,200,50,0,0,320,1000,0.18,0,0,0,NULL,0,0,0.32,10,1130,NULL,NULL,ConTec 6 rheometer,No,,,,,,,,
6,M4 20,750,200,50,0,0,320,1000,0.18,0,0,0,NULL,0,0,0.32,20,1350,NULL,NULL,ConTec 6 rheometer,No,,,,,,,,
7,A5,655.32,234.04,46.81,0,0.5,327.66,936.17,0.3,NULL,0,0,NULL,0,0,0.350000534,5,70,NULL,NULL,Anton Par MCR 102 rotational rheometer,No,,,,,,,,Quartz 1 
7,A10,655.32,234.04,46.81,0,0.5,327.66,936.17,0.3,NULL,0,0,NULL,0,0,0.350000534,10,195,NULL,NULL,Anton Par MCR 102 rotational rheometer,No,,,,,,,,Quartz 1 
7,A15,655.32,234.04,46.81,0,0.5,327.66,936.17,0.3,NULL,0,0,NULL,0,0,0.350000534,15,550,NULL,NULL,Anton Par MCR 102 rotational rheometer,Yes,,,,,,,,Quartz 1 
7,A20,655.32,234.04,46.81,0,0.5,327.66,936.17,0.3,NULL,0,0,NULL,0,0,0.350000534,20,960,76.2,4,Anton Par MCR 102 rotational rheometer,Yes,,,,,,,,Quartz 1 
7,B5,733.33,261.9,52.38,0,0.5,366.67,785.71,0.3,NULL,0,0,NULL,0,0,0.350006205,5,40,NULL,NULL,Anton Par MCR 102 rotational rheometer,No,,,,,,,,Quartz 1 
7,B10,733.33,261.9,52.38,0,0.5,366.67,785.71,0.3,NULL,0,0,NULL,0,0,0.350006205,10,175,NULL,NULL,Anton Par MCR 102 rotational rheometer,No,,,,,,,,Quartz 1 
7,B15,733.33,261.9,52.38,0,0.5,366.67,785.71,0.3,NULL,0,0,NULL,0,0,0.350006205,15,625,NULL,NULL,Anton Par MCR 102 rotational rheometer,Yes,,,,,,,,Quartz 1 
7,B20,733.33,261.9,52.38,0,0.5,366.67,785.71,0.3,NULL,0,0,NULL,0,0,0.350006205,20,1115,58.6,1.7,Anton Par MCR 102 rotational rheometer,Yes,,,,,,,,Quartz 1 
7,C5,655.32,234.04,46.81,0,0.5,327.66,936.17,0.3,NULL,0,0,NULL,0,0,0.350000534,5,50,NULL,NULL,Anton Par MCR 102 rotational rheometer,No,,,,,,,,Quartz 2
7,C10,655.32,234.04,46.81,0,0.5,327.66,936.17,0.3,NULL,0,0,NULL,0,0,0.350000534,10,190,NULL,NULL,Anton Par MCR 102 rotational rheometer,No,,,,,,,,Quartz 2
7,C15,655.32,234.04,46.81,0,0.5,327.66,936.17,0.3,NULL,0,0,NULL,0,0,0.350000534,15,615,NULL,NULL,Anton Par MCR 102 rotational rheometer,Yes,,,,,,,,Quartz 2
7,C20,655.32,234.04,46.81,0,0.5,327.66,936.17,0.3,NULL,0,0,NULL,0,0,0.350000534,20,950,65.3,2.1,Anton Par MCR 102 rotational rheometer,Yes,,,,,,,,Quartz 2
7,D5,733.33,261.9,52.38,0,0.5,366.67,785.71,0.3,NULL,0,0,NULL,0,0,0.350006205,5,95,NULL,NULL,Anton Par MCR 102 rotational rheometer,No,,,,,,,,Quartz 2
7,D10,733.33,261.9,52.38,0,0.5,366.67,785.71,0.3,NULL,0,0,NULL,0,0,0.350006205,10,275,NULL,NULL,Anton Par MCR 102 rotational rheometer,Yes,,,,,,,,Quartz 2
7,D15,733.33,261.9,52.38,0,0.5,366.67,785.71,0.3,NULL,0,0,NULL,0,0,0.350006205,15,695,NULL,NULL,Anton Par MCR 102 rotational rheometer,Yes,,,,,,,,Quartz 2
