Cement ,Fly Ash,Silica Fume ,Metakaolin ,Water ,Fine Aggregate ,Superplasticizer ,VMA ,Accelerator,Retarder ,Fiber Length ,Fiber Volume Fraction ,Water/Binder Ratio,NANO CLAY ,Open Time ,Static Yield Stress 
759,0,83.5,0,166.9,1267,0.6,0,0,0.4,0,0,0.19810089,0,0,2400
759,0,83.5,0,166.9,1267,0.8,0,0,0.4,0,0,0.19810089,0,0,3500
833,0,91.63,0,183.3,1175,0.6,0,0,0.4,0,0,0.198241459,0,0,3500
574,164,82,0,262.2,1230,0.17,0,0,0,12,0.22,0.32,0,0,1600
574,164,82,0,262.2,1230,0.17,0,0,0,12,0.22,0.32,0,15,2100
574,164,82,0,262.2,1230,0.17,0,0,0,12,0.22,0.32,0,30,2900
574,164,82,0,262.2,1230,0.17,0,0,0,12,0.22,0.32,0,45,4400
574,164,82,0,262.2,1230,0.17,0,0,0,12,0.22,0.32,0,60,6400
574,164,82,0,262.2,1230,0.17,0,0,0,12,0.22,0.32,0,75,9500
663,166,0,0,265.2,1243,0.13,0,0,0,12,0.22,0.32,0.3,0,1600
663,166,0,0,265.2,1243,0.13,0,0,0,12,0.22,0.32,0.3,15,2000
663,166,0,0,265.2,1243,0.13,0,0,0,12,0.22,0.32,0.3,30,2500
663,166,0,0,265.2,1243,0.13,0,0,0,12,0.22,0.32,0.3,45,3500
663,166,0,0,265.2,1243,0.13,0,0,0,12,0.22,0.32,0.3,60,4900
663,166,0,0,265.2,1243,0.13,0,0,0,12,0.22,0.32,0.3,75,6500
663,166,0,0,265.2,1243,0.18,0.1,0,0,12,0.22,0.32,0,0,1600
663,166,0,0,265.2,1243,0.18,0.1,0,0,12,0.22,0.32,0,15,1900
663,166,0,0,265.2,1243,0.18,0.1,0,0,12,0.22,0.32,0,30,2300
663,166,0,0,265.2,1243,0.18,0.1,0,0,12,0.22,0.32,0,45,2900
663,166,0,0,265.2,1243,0.18,0.1,0,0,12,0.22,0.32,0,60,3900
663,166,0,0,265.2,1243,0.18,0.1,0,0,12,0.22,0.32,0,75,4900
579,165,83,0,232,1241,0.5,0,0,0,12,0.16,0.28,0,0,2600
579,165,83,0,232,1241,1,0,0,0,12,0.16,0.28,0,0,550
579,165,83,0,232,1241,1.5,0,0,0,12,0.16,0.28,0,0,360
579,165,83,0,232,1241,2,0,0,0,12,0.16,0.28,0,0,210
579,165,83,0,232,1241,1,0,0,0.5,12,0.16,0.28,0,0,730
579,165,83,0,232,1241,1,0,0,1,12,0.16,0.28,0,0,980
579,165,83,0,232,1241,1,0,0,1.5,12,0.16,0.28,0,0,1230
579,165,83,0,232,1241,1,0,0,2,12,0.16,0.28,0,0,1480
579,165,83,0,232,1241,1,0,1,0,12,0.16,0.28,0,0,680
579,165,83,0,232,1241,1,0,3,0,12,0.16,0.28,0,0,1540
579,165,83,0,232,1241,1,0,5,0,12,0.16,0.28,0,0,3200
607,0,0,0,305,1230,0.022,0,0,0,6,0.13,0.502,0,0,1286
607,0,0,0,305,1230,0.022,0,0,0,6,0.13,0.502,0,15,1335
607,0,0,0,305,1230,0.022,0,0,0,6,0.13,0.502,0,30,1398
607,0,0,0,305,1230,0.022,0,0,0,6,0.13,0.502,0,45,1438
607,0,0,0,305,1230,0.022,0,0,0,6,0.13,0.502,0,60,1473
607,0,0,0,305,1230,0.022,0,0,0,6,0.13,0.502,0,75,1488
607,0,0,0,305,1230,0.022,0,0,0,6,0.13,0.502,0,90,1495
607,0,0,0,305,1230,0.022,0,0,0,6,0.26,0.502,0,0,1360
607,0,0,0,305,1230,0.022,0,0,0,6,0.26,0.502,0,15,1432
607,0,0,0,305,1230,0.022,0,0,0,6,0.26,0.502,0,30,1486
607,0,0,0,305,1230,0.022,0,0,0,6,0.26,0.502,0,45,1486
607,0,0,0,305,1230,0.022,0,0,0,6,0.26,0.502,0,60,1518
607,0,0,0,305,1230,0.022,0,0,0,6,0.4,0.502,0,0,1507
435,172,0,0,305,1205,0.2,0,0,0,6,0.13,0.502,0,0,1334
435,172,0,0,305,1205,0.2,0,0,0,6,0.13,0.502,0,15,1245
435,172,0,0,305,1205,0.2,0,0,0,6,0.13,0.502,0,30,1262
435,172,0,0,305,1205,0.2,0,0,0,6,0.13,0.502,0,45,1352
435,172,0,0,305,1205,0.2,0,0,0,6,0.13,0.502,0,60,1368
435,172,0,0,305,1205,0.2,0,0,0,6,0.13,0.502,0,75,1425
435,172,0,0,305,1205,0.2,0,0,0,6,0.13,0.502,0,90,1450
435,172,0,0,305,1205,0.2,0,0,0,6,0.13,0.502,0,105,1472
435,172,0,0,305,1205,0.2,0,0,0,6,0.13,0.502,0,120,1456
435,172,0,0,305,1205,0.2,0,0,0,6,0.13,0.502,0,135,1472
435,172,0,0,305,1205,0.2,0,0,0,6,0.26,0.502,0,0,1674
435,172,0,0,305,1205,0.2,0,0,0,6,0.26,0.502,0,15,1352
435,172,0,0,305,1205,0.2,0,0,0,6,0.26,0.502,0,30,1402
435,172,0,0,305,1205,0.2,0,0,0,6,0.26,0.502,0,45,1435
435,172,0,0,305,1205,0.2,0,0,0,6,0.26,0.502,0,60,1460
435,172,0,0,305,1205,0.2,0,0,0,6,0.26,0.502,0,75,1482
516,0,0,91,305,1225,0.44,0,0,0,6,0.13,0.502,0,0,1464
334,182,0,91,305,1180,0.44,0,0,0,6,0.13,0.502,0,0,1444
364,182,0,61,305,1184,0.44,0,0,0,6,0.13,0.502,0,0,1369
